date,year,title,link,similarity,pessimism_raw,pessimism_clean,CAR,ABS_CAR,MRO,DELTA_MRO,INFLATION,OUTPUT_GAP,log_similarity,interaction_raw,interaction_clean
1999-01-07,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990107.en.html,0.04664391353811149,0.42643923240938164,-0.10660980810234541,0.005156211506570927,0.5156211506570927,3.0,0.0,0.8660303994344254,-0.5279148686215152,-3.0652128309808693,-1.3071270068148695,0.32678175170371737
1999-02-04,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990204.en.html,0.12452830188679245,1.4884979702300407,1.8944519621109608,-0.03090629490948754,3.0906294909487544,3.0,0.0,0.8284858099770975,-0.5975426422747768,-2.083222264519742,-3.1008721122756646,-3.9465645065326638
1999-03-04,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990304.en.html,0.15441783649876134,0.9626955475330927,1.203369434416366,-0.014666642130255855,1.4666642130255856,3.0,0.0,1.0211267605633845,-0.6671704159280386,-1.8680931266985057,-1.798404935449825,-2.2480061693122813
1999-04-08,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990408.en.html,0.09438775510204081,-0.3294892915980231,0.3294892915980231,0.029722529234949384,2.9722529234949384,3.0,-0.5,1.1415525114155445,-0.7367981895813003,-2.3603439271462383,0.7777080484831099,-0.7777080484831099
1999-05-06,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990506.en.html,0.09820485744456177,0.1869158878504673,-0.1869158878504673,-0.017957772912363824,1.7957772912363823,2.5,0.0,0.9989484752891631,-0.5238564179128602,-2.3206996000328224,-0.4337756261743594,0.4337756261743594
1999-06-02,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990602.en.html,0.13260869565217392,0.49586776859504134,-0.6611570247933884,0.025110457253050184,2.5110457253050185,2.5,0.0,0.9283587318269282,-0.3109146462444201,-2.020352625309829,-1.0018277480875186,1.3357703307833582
1999-07-15,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990715.en.html,0.0975428145941921,-0.19743336623889435,-0.9871668311944718,-0.04946988611716219,4.946988611716218,2.5,0.0,1.0860045542126384,-0.09797287457598003,-2.327463873322086,0.45951902730939503,2.2975951365469753
1999-09-09,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is990909.en.html,0.08703170028818444,-1.6113744075829384,-1.9905213270142181,-0.019833094445102988,1.9833094445102988,2.5,0.0,1.2961989840602373,0.16671991539123354,-2.441482855566035,3.9341429900116203,4.859823693543767
1999-10-07,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is991007.en.html,0.10872395833333333,-0.6195786864931847,-0.9913258983890955,-0.009094075130025022,0.9094075130025022,2.5,0.0,1.3665031534688232,0.2990663103748403,-2.2189431012908623,1.3748098521009062,2.19969576336145
1999-11-04,1999,ECB Press conference: Introductory statement,/press/press_conference/monetary-policy-statement/1999/html/is991104.en.html,0.09854604200323101,-0.5788712011577424,-1.0130246020260492,0.07504382647665876,7.504382647665876,2.5,0.5,1.5066573230553493,0.5055715174732356,-2.317231408511285,1.3413785288053746,2.3474124254094058
